Location,Medicaid,Uninsured,Total
Alabama,948700,480300,1429000
Alaska,140000,102800,242800
Arizona,1463900,736600,2200500
Arkansas,738400,271500,1009900
California,10173800,3276000,13449800
Colorado,1021200,430000,1451200
Connecticut,683000,210900,893900
Delaware,188000,51500,239500
District of Columbia,168000,23600,191600
Florida,3724900,2653500,6378400
Georgia,1768000,1375700,3143700
Hawaii,244100,52100,296200
Idaho,274400,182200,456600
Illinois,2542500,889400,3431900
Indiana,1085000,633300,1718300
Iowa,548500,146800,695300
Kansas,377200,261200,638400
Kentucky,1105200,261100,1366300
Louisiana,1026900,546800,1573700
Maine,258600,110600,369200
Maryland,1027100,389700,1416800
Massachusetts,1559300,185000,1744300
Michigan,2201400,584400,2785800
Minnesota,968900,240600,1209500
Mississippi,744400,361300,1105700
Missouri,874500,574400,1448900
Montana,152600,116300,268900
Nebraska,237400,144000,381400
Nevada,528200,349800,878000
New Hampshire,160600,89200,249800
New Jersey,1523400,773400,2296800
New Mexico,651500,222200,873700
New York,4945200,1368400,6313600
North Carolina,1802000,1101600,2903600
North Dakota,77600,60000,137600
Ohio,2355000,733400,3088400
Oklahoma,655500,537200,1192700
Oregon,942000,277600,1219600
Pennsylvania,2288600,780600,3069200
Rhode Island,231300,52500,283800
South Carolina,926800,513400,1440200
South Dakota,111100,92900,204000
Tennessee,1291200,659600,1950800
Texas,4690000,4560300,9250300
Utah,327000,314300,641300
Vermont,156000,23800,179800
Virginia,971100,751000,1722100
Washington,1480900,458200,1939100
West Virginia,476100,98200,574300
Wisconsin,959000,324300,1283300
Wyoming,69100,59300,128400
Puerto Rico,1673300,195100,1868400
