Location,Medicaid,Uninsured,Total
Alabama,952800,435200,1388000
Alaska,137900,103500,241400
Arizona,1585800,674800,2260600
Arkansas,771800,232200,1004000
California,10466200,2841000,13307200
Colorado,1045500,413700,1459200
Connecticut,700500,170000,870500
Delaware,178900,53500,232400
District of Columbia,183900,26000,209900
Florida,3825400,2524000,6349400
Georgia,1793400,1292300,3085700
Hawaii,239700,47400,287100
Idaho,277300,170200,447500
Illinois,2537500,814300,3351800
Indiana,1150600,518900,1669500
Iowa,592700,122400,715100
Kansas,391300,236700,628000
Kentucky,1144900,220800,1365700
Louisiana,1146200,461100,1607300
Maine,250500,102000,352500
Maryland,1040400,357700,1398100
Massachusetts,1573400,163900,1737300
Michigan,2193200,516600,2709800
Minnesota,967700,227400,1195100
Mississippi,714600,339300,1053900
Missouri,858700,529100,1387800
Montana,208400,84900,293300
Nebraska,237000,163800,400800
Nevada,556500,321000,877500
New Hampshire,173900,82100,256000
New Jersey,1521800,675900,2197700
New Mexico,658500,183000,841500
New York,5075600,1170500,6246100
North Carolina,1837100,1029700,2866800
North Dakota,80500,57000,137500
Ohio,2401000,629400,3030400
Oklahoma,690400,524200,1214600
Oregon,934000,249000,1183000
Pennsylvania,2454500,722700,3177200
Rhode Island,222900,42900,265800
South Carolina,967000,476200,1443200
South Dakota,118400,69200,187600
Tennessee,1379100,591700,1970800
Texas,4757100,4522200,9279300
Utah,351500,255200,606700
Vermont,160200,21600,181800
Virginia,928900,714400,1643300
Washington,1515200,423800,1939000
West Virginia,511600,87700,599300
Wisconsin,984300,292600,1276900
Wyoming,71500,62500,134000
Puerto Rico,1627800,214600,1842400
