Location,Medicaid,Uninsured,Total
Alabama,928300,483400,1411700
Alaska,151200,85400,236600
Arizona,1568300,743500,2311800
Arkansas,796600,242000,1038600
California,10194300,2774100,12968400
Colorado,1027200,425200,1452400
Connecticut,715200,185100,900300
Delaware,200500,54000,254500
District of Columbia,184800,21200,206000
Florida,3759600,2741500,6501100
Georgia,1781600,1406800,3188400
Hawaii,236500,52200,288700
Idaho,284600,191700,476300
Illinois,2361500,877700,3239200
Indiana,1143300,549200,1692500
Iowa,592700,151100,743800
Kansas,396400,245500,641900
Kentucky,1143400,240800,1384200
Louisiana,1323500,358700,1682200
Maine,239600,102000,341600
Maryland,1086400,350200,1436600
Massachusetts,1546400,181200,1727600
Michigan,2191600,526500,2718100
Minnesota,983800,238700,1222500
Mississippi,674000,352800,1026800
Missouri,888000,556600,1444600
Montana,218900,83900,302800
Nebraska,248700,158100,406800
Nevada,574700,338700,913400
New Hampshire,184900,68200,253100
New Jersey,1456800,647600,2104400
New Mexico,673300,190900,864200
New York,5003500,1006900,6010400
North Carolina,1827800,1090100,2917900
North Dakota,84300,56300,140600
Ohio,2353900,735400,3089300
Oklahoma,673300,521400,1194700
Oregon,907000,295900,1202900
Pennsylvania,2498700,692400,3191100
Rhode Island,237900,40900,278800
South Carolina,960700,517100,1477800
South Dakota,113200,79400,192600
Tennessee,1359800,670300,2030100
Texas,4724500,4957500,9682000
Utah,313600,279300,592900
Vermont,139400,24500,163900
Virginia,970900,710500,1681400
Washington,1538400,481700,2020100
West Virginia,463500,108200,571700
Wisconsin,940500,313600,1254100
Wyoming,57100,59200,116300
Puerto Rico,1517200,203100,1720300
